Source	ID	Label	Parent ID	Parent Label	Related
go	GO:0000785	chromatin			ancestors
go	GO:0001046	core promoter sequence-specific DNA binding			ancestors
go	GO:0001047		OBI:0001588		
go	GO:0001172	transcription, RNA-templated			ancestors
go	GO:0001508	action potential			ancestors
go	GO:0001788	antibody-dependent cellular cytotoxicity	GO:0008150	biological_process	
go	GO:0001806	type IV hypersensitivity	GO:0002524	hypersensitivity	
go	GO:0001816	cytokine production	GO:0008150	biological_process	
go	GO:0001906	cell killing	GO:0008150	biological_process	
go	GO:0001913	T cell mediated cytotoxicity	GO:0001906	cell killing	
go	GO:0002250	adaptive immune response	GO:0006955	immune response	
go	GO:0002367	cytokine production involved in immune response	GO:0001816	cytokine production	
go	GO:0002390		GO:0001816	cytokine production	
go	GO:0002507	tolerance induction	GO:0008150	biological_process	
go	GO:0002514	B cell tolerance induction	GO:0002507	tolerance induction	
go	GO:0002517	T cell tolerance induction	GO:0002507	tolerance induction	
go	GO:0002524	hypersensitivity	GO:0008150	biological_process	
go	GO:0002534	cytokine production involved in inflammatory response	GO:0001816	cytokine production	
go	GO:0003094	glomerular filtration			ancestors
go	GO:0003674	molecular_function	BFO:0000015	process	
go	GO:0003823	antigen binding			ancestors
go	GO:0003824	catalytic activity	GO:0003674	molecular_function	
go	GO:0003964	Minus strand DNA synthesis resumes	GO:0003824	catalytic activity	
go	GO:0003990	AcCho is hydrolyzed to Cho and acetate by ACHE	GO:0003824	catalytic activity	
go	GO:0004364	LTC4S trimer transfers GSH to 7S(8)-epoxy-17(S)-HDHA to form RCTR1	GO:0003824	catalytic activity	
go	GO:0005216	ion channel activity	GO:0009987	cellular process	
go	GO:0005575	cellular_component	BFO:0000040	material entity	
go	GO:0005577	fibrinogen complex			ancestors
go	GO:0005694	chromosome	GO:0005575	cellular_component	
go	GO:0005739	mitochondrion	GO:0043227	membrane-bounded organelle	
go	GO:0006006	glucose metabolic process	GO:0008150	biological_process	
go	GO:0006260	DNA replication	GO:0008150	biological_process	
go	GO:0006306	DNA methylation	GO:0008150	biological_process	
go	GO:0006338	chromatin remodeling	GO:0009987	cellular process	
go	GO:0006909	phagocytosis	GO:0008150	biological_process	
go	GO:0006955	immune response	GO:0050896	response to stimulus	
go	GO:0006974	cellular response to DNA damage stimulus	GO:0050896	response to stimulus	
go	GO:0007049	cell cycle	GO:0008150	biological_process	
go	GO:0007596	blood coagulation	GO:0008150	biological_process	
go	GO:0008150	biological_process	BFO:0000015	process	
go	GO:0008228	opsonization	GO:0006909	phagocytosis	
go	GO:0008283	cell population proliferation	GO:0008150	biological_process	
go	GO:0009566	fertilization	GO:0008150	biological_process	
go	GO:0009987	cellular process	GO:0008150	biological_process	
go	GO:0010467	gene expression	GO:0008150	biological_process	
go	GO:0010573	vascular endothelial growth factor production	GO:0001816	cytokine production	
go	GO:0016064	immunoglobulin mediated immune response	GO:0008150	biological_process	
go	GO:0016570	histone modification	GO:0008150	biological_process	
go	GO:0016788	Platelet-activating factor acetylhydrolase (PLA2G7) hydrolyzes acyl Ghrelin	GO:0003824	catalytic activity	
go	GO:0019814	immunoglobulin complex	GO:0032991	macromolecular complex	
go	GO:0019815	B cell receptor complex	GO:0032991	macromolecular complex	
go	GO:0019882	antigen processing and presentation	GO:0008150	biological_process	
go	GO:0019904	protein domain specific binding	OBI:0001588		
